"kind","id","name","type","sourceName","group","url","ok","titleOk","posterOk","playOk","qualityOk","qualityLabel","maxHeight","maxBandwidth","variants","status","playStatus","elapsedMs","error"
"source","all-on-demand-sources-豆瓣资源-https-dbzy-tv-api-php-provide-vod-2","豆瓣资源｜追劇","1","","","https://dbzy.tv/api.php/provide/vod/","true","","","","","","","","","200","","650",""
"source","all-on-demand-sources-天涯资源-https-tyyszy-com-api-php-provide-vod-3","天涯资源｜追劇","1","","","https://tyyszy.com/api.php/provide/vod/","true","","","","","","","","","200","","256",""
"source","all-on-demand-sources-黑料资源-https-www-heiliaozyapi-com-api-php-provide-vod-57","黑料资源｜追劇","1","","","https://www.heiliaozyapi.com/api.php/provide/vod/","true","","","","","","","","","200","","1160",""
"source","all-on-demand-sources-精品资源-https-www-jingpinx-com-api-php-provide-vod-60","精品资源｜追劇","1","","","https://www.jingpinx.com/api.php/provide/vod/","true","","","","","","","","","200","","898",""
"source","all-on-demand-sources-155-资源-https-155api-com-api-php-provide-vod-6","155-资源｜追劇","1","","","https://155api.com/api.php/provide/vod/","true","","","","","","","","","200","","313",""
"source","all-on-demand-sources-茅台资源-https-caiji-maotaizy-cc-api-php-provide-vod-3","茅台资源｜追劇","1","","","https://caiji.maotaizy.cc/api.php/provide/vod/","true","","","","","","","","","200","","1381",""
"source","all-on-demand-sources-ikun资源-https-ikunzyapi-com-api-php-provide-vod-5","iKun资源｜追劇","1","","","https://ikunzyapi.com/api.php/provide/vod/","true","","","","","","","","","200","","767",""
"source","all-on-demand-sources-电影天堂-http-caiji-dyttzyapi-com-api-php-provide-vod-6","电影天堂｜追劇","1","","","http://caiji.dyttzyapi.com/api.php/provide/vod/","true","","","","","","","","","200","","594",""
"source","all-on-demand-sources-猫眼资源-https-api-maoyanapi-top-api-php-provide-vod-7","猫眼资源｜追劇","1","","","https://api.maoyanapi.top/api.php/provide/vod/","true","","","","","","","","","200","","883",""
"source","all-on-demand-sources-量子资源-https-cj-lzcaiji-com-api-php-provide-vod-8","量子资源｜追劇","1","","","https://cj.lzcaiji.com/api.php/provide/vod/","true","","","","","","","","","200","","314",""
"source","all-on-demand-sources-360资源-https-360zyzz-com-api-php-provide-vod-9","360 资源｜追劇","1","","","https://360zyzz.com/api.php/provide/vod/","true","","","","","","","","","200","","286",""
"source","current-vod-url-极速资源-https-jszyapi-com-api-php-provide-vod-13","极速资源｜追劇","1","","","https://jszyapi.com/api.php/provide/vod/","true","","","","","","","","","200","","182",""
"source","all-on-demand-sources-魔都资源-https-www-mdzyapi-com-api-php-provide-vod-11","魔都资源｜追劇","1","","","https://www.mdzyapi.com/api.php/provide/vod/","true","","","","","","","","","200","","955",""
"source","all-on-demand-sources-非凡资源-https-api-ffzyapi-com-api-php-provide-vod-12","非凡资源｜追劇","1","","","https://api.ffzyapi.com/api.php/provide/vod/","true","","","","","","","","","200","","1468",""
"source","all-on-demand-sources-暴风资源-https-bfzyapi-com-api-php-provide-vod-13","暴风资源｜追劇","1","","","https://bfzyapi.com/api.php/provide/vod/","true","","","","","","","","","200","","594",""
"source","all-on-demand-sources-最大资源-https-api-zuidapi-com-api-php-provide-vod-14","最大资源｜追劇","1","","","https://api.zuidapi.com/api.php/provide/vod/","true","","","","","","","","","200","","75",""
"source","all-on-demand-sources-无尽资源-https-api-wujinapi-me-api-php-provide-vod-15","无尽资源｜追劇","1","","","https://api.wujinapi.me/api.php/provide/vod/","true","","","","","","","","","200","","85",""
"source","all-on-demand-sources-新浪资源-https-api-xinlangapi-com-xinlangapi-php-provide-vod-16","新浪资源｜追劇","1","","","https://api.xinlangapi.com/xinlangapi.php/provide/vod/","true","","","","","","","","","200","","250",""
"source","all-on-demand-sources-速播资源-https-subocaiji-com-api-php-provide-vod-18","速播资源｜追劇","1","","","https://subocaiji.com/api.php/provide/vod/","true","","","","","","","","","200","","610",""
"source","all-on-demand-sources-u酷影视-https-api-ukuapi88-com-api-php-provide-vod-21","U酷影视｜追劇","1","","","https://api.ukuapi88.com/api.php/provide/vod/","true","","","","","","","","","200","","389",""
"source","all-on-demand-sources-光速资源-https-api-guangsuapi-com-api-php-provide-vod-22","光速资源｜追劇","1","","","https://api.guangsuapi.com/api.php/provide/vod/","true","","","","","","","","","200","","569",""
"source","all-on-demand-sources-红牛资源-https-www-hongniuzy2-com-api-php-provide-vod-23","红牛资源｜追劇","1","","","https://www.hongniuzy2.com/api.php/provide/vod/","true","","","","","","","","","200","","413",""
"source","all-on-demand-sources-魔都动漫-https-caiji-moduapi-cc-api-php-provide-vod-24","魔都动漫｜追劇","1","","","https://caiji.moduapi.cc/api.php/provide/vod/","true","","","","","","","","","200","","624",""
"source","all-on-demand-sources-如意资源-https-pz-v88-qzz-io-url-https-cj-rycjapi-com-api-php-provide-vod-25","如意资源｜追劇","1","","","https://pz.v88.qzz.io/?url=https://cj.rycjapi.com/api.php/provide/vod","true","","","","","","","","","200","","3121",""
"source","all-on-demand-sources-量子影视-https-cj-lziapi-com-api-php-provide-vod-29","量子影视｜追劇","1","","","https://cj.lziapi.com/api.php/provide/vod/","true","","","","","","","","","200","","189",""
"source","all-on-demand-sources-最大点播-https-zuidazy-me-api-php-provide-vod-30","最大点播｜追劇","1","","","https://zuidazy.me/api.php/provide/vod/","true","","","","","","","","","200","","184",""
"source","all-on-demand-sources-无尽影视-https-api-wujinapi-com-api-php-provide-vod-31","无尽影视｜追劇","1","","","https://api.wujinapi.com/api.php/provide/vod/","true","","","","","","","","","200","","256",""
"source","all-on-demand-sources-优质资源-https-api-yzzy-api-com-inc-apijson-php-33","优质资源｜追劇","1","","","https://api.yzzy-api.com/inc/apijson.php","true","","","","","","","","","200","","516",""
"source","all-on-demand-sources-虎牙资源-https-www-huyaapi-com-api-php-provide-vod-34","虎牙资源｜追劇","1","","","https://www.huyaapi.com/api.php/provide/vod/","true","","","","","","","","","200","","740",""
"source","all-on-demand-sources-鸭鸭资源-https-cj-yayazy-net-api-php-provide-vod-35","鸭鸭资源｜追劇","1","","","https://cj.yayazy.net/api.php/provide/vod/","true","","","","","","","","","200","","232",""
"source","all-on-demand-sources-索尼资源-https-suoniapi-com-api-php-provide-vod-36","索尼资源｜追劇","1","","","https://suoniapi.com/api.php/provide/vod/","true","","","","","","","","","200","","137",""
