YouTube新聞台,#genre#
001 三立iNEWS,https://www.youtube.com/watch?v=pF507BLtbqU
002 寰宇新聞台,https://www.youtube.com/watch?v=Ej3LQM_lTEw
003 東森財經新聞,https://www.youtube.com/watch?v=1I2iq41Akmo
004 運通財經台,https://www.youtube.com/watch?v=dlTbFSt2spc
005 中視新聞,https://www.youtube.com/watch?v=TCnaIE_SAtM
006 民視新聞,https://www.youtube.com/watch?v=ylYJSBUgaMA
007 台視新聞台,https://www.youtube.com/watch?v=sNtCBxP-8LY
008 三立新聞台,https://www.youtube.com/watch?v=QsGswQvRmtU
009 TVBS NEWS 24小時直播,https://www.youtube.com/watch?v=m_dhMSvUCIc
010 中天電視,https://www.youtube.com/watch?v=vr3XyVCR4T0
011 鳳凰衛視資訊台,https://www.youtube.com/watch?v=fN9uYWCjQaw
012 新唐人LIVE,https://www.youtube.com/watch?v=Bhp_V7H5QoY
013 鏡新聞,https://www.youtube.com/watch?v=5n0y6b0Q25o
014 TVBS NEWS,https://www.youtube.com/watch?v=jMGAopbbmEE
015 TVBS選新聞,https://www.youtube.com/watch?v=72d-gkakiek
016 寰宇新聞財經台,https://www.youtube.com/watch?v=yAUQQ0DhPxI
017 倪珍24小時播新聞,https://www.youtube.com/watch?v=RRybv1kEnCU
018 公視新聞網,https://www.youtube.com/watch?v=quwqlazU-c8
019 華視新聞,https://www.youtube.com/watch?v=wM0g8EoUZ_E
020 華視公眾安全資訊觀測站,https://www.youtube.com/watch?v=meHTKm4XBS8
021 東森新聞 51 頻道 24 小時直播,https://www.youtube.com/watch?v=V1p33hqPrUk
022 寰宇新聞台灣台,https://www.youtube.com/watch?v=Ej3LQM_lTEw
023 公視 網路直播頻道,https://www.youtube.com/watch?v=C6gYqSHLRw4
024 CNA LIVE,https://www.youtube.com/watch?v=XWq5kBlakcQ
025 華視戲劇頻道,https://www.youtube.com/watch?v=6ZowCmLBcMY

YouTube購物台,#genre#
026 momo購物一台,https://www.youtube.com/watch?v=_pZQ1Lk0xMA
027 momo購物二台,https://www.youtube.com/watch?v=xbNWkUyxQGM
028 東森購物台CH60,https://www.youtube.com/watch?v=2IGZjBPTPT8
029 東森購物台CH46,https://www.youtube.com/watch?v=tUvQg2HgIbs
030 東森購物台CH47,https://www.youtube.com/watch?v=vZHktiRowRg
031 東森購物台CH34,https://www.youtube.com/watch?v=J3t9N0vciPI
032 美好購物1台,https://www.youtube.com/watch?v=8TBJDKRcg6c
033 美好購物2台,https://www.youtube.com/watch?v=MHoyggBaFW4

YouTube綜合娛樂,#genre#
034 信大電視台,https://www.youtube.com/watch?v=3MakY86sYn8
035 中天亞洲台,https://www.youtube.com/watch?v=fdHutVy5SUM
036 華視綜藝頻道,https://www.youtube.com/watch?v=0ePhPlTJbGo
037 中視經典綜藝,https://www.youtube.com/watch?v=ADDSmXoPDY8
038 中天2台,https://www.youtube.com/watch?v=6LNCDdQpv-w
039 大陸尋奇,https://www.youtube.com/watch?v=Kc5OXLZ9NEw
040 豬哥會社,https://www.youtube.com/watch?v=v8MUGB4vst8
041 GTV DRAMA 八大劇樂部,https://www.youtube.com/watch?v=6UQA6Qp0Bks
042 民視戲劇館,https://www.youtube.com/watch?v=NyrdWXddfR4
043 Entertainment - Mediacorp,https://www.youtube.com/watch?v=ipqTkEH3mhE
044 東森綜合2台頻道 24 小時直播,https://www.youtube.com/watch?v=cimbpAZUjzw
045 8world,https://www.youtube.com/watch?v=RvSOIM620bA

YouTube國際新聞,#genre#
046 DW News,https://www.youtube.com/watch?v=LuKwFajn37U
047 Al Jazeera Arabic,https://www.youtube.com/watch?v=N8xxOD0nT1Y
048 ABC News,https://www.youtube.com/watch?v=IkKbZ_TC9Tc
049 LIVE NOW,https://www.youtube.com/watch?v=vNVp6bxkL1c
050 Haberturk TV,https://www.youtube.com/watch?v=s4KIyYkwiM0
051 GB News,https://www.youtube.com/watch?v=grQjlyyQsn4
052 Sky News,https://www.youtube.com/watch?v=paEJskVBz_M
053 Euronews English,https://www.youtube.com/watch?v=pykpO5kQJ98
054 FRANCE 24 English,https://www.youtube.com/watch?v=HvZt-nh9sGg
055 NBC News,https://www.youtube.com/watch?v=fDYFTkFJtdM
056 Al Jazeera English,https://www.youtube.com/watch?v=gCNeDWCI0vo
057 CRUX,https://www.youtube.com/watch?v=LLWrwAKROfY
058 LiveNOW from FOX,https://www.youtube.com/watch?v=9fTzGUvzjQw
059 TV5 News,https://www.youtube.com/watch?v=EMNH8Gg8BzM
060 TaiwanPlus,https://www.youtube.com/watch?v=Vrs-AeKZIEg

YouTube亞洲新聞,#genre#
061 Malaimurasu Tv 24X7,https://www.youtube.com/watch?v=vpZ5af6irzA
062 Asianet News,https://www.youtube.com/watch?v=s0LLVQeMmtU
063 JapaNews24,https://www.youtube.com/watch?v=D1uFPfCvtRI
064 Astro AWANI,https://www.youtube.com/watch?v=mkVyNaGee8A
065 India Today,https://www.youtube.com/watch?v=Y9lhb97xlhY
066 News18 India,https://www.youtube.com/watch?v=o6OP0iB5zvE
067 MediaoneTV Live,https://www.youtube.com/watch?v=-8d8-c0yvyU
068 TBS NEWS,https://www.youtube.com/watch?v=d8Rm7OKE9mA
069 NewsTamil24x7,https://www.youtube.com/watch?v=hGs-nKaNc88
070 Malayalam News,https://www.youtube.com/watch?v=1wECsnGZcfc
071 Arirang TV,https://www.youtube.com/watch?v=CJVBX7KI5nU
072 HTB北海道ニュース,https://www.youtube.com/watch?v=tvgbZZYS4Nk
073 KBS News,https://www.youtube.com/watch?v=p5W8X3vziJ8
074 ABCテレビニュース,https://www.youtube.com/watch?v=XGSEjlkjK8o
075 TIMES NOW,https://www.youtube.com/watch?v=6lrvdOedqgk

YouTube兒童動畫,#genre#
076 123 GO! Live,https://www.youtube.com/watch?v=8FHerid3vag
077 Muse木棉花-闔家歡,https://www.youtube.com/watch?v=Lh6xiMlkRrg
078 YOYO TV,https://www.youtube.com/watch?v=KbG88GiZmBI
079 小猪佩奇,https://www.youtube.com/watch?v=MxK0SaEVQFs
080 Talking Tom,https://www.youtube.com/watch?v=2wqCOO4gAUs
081 TalkingFriendsTVMini,https://www.youtube.com/watch?v=FxmuSm_wgng
082 Dave and Ava,https://www.youtube.com/watch?v=NU-7Xmj514E
083 Tayo the Little Bus,https://www.youtube.com/watch?v=wgFPP9dRO-w
084 Disney Junio,https://www.youtube.com/watch?v=k7iNXiw1zL4

YouTube文化紀實,#genre#
085 Tokyo Walk,https://www.youtube.com/watch?v=pcPhqxOUv8A
086 大愛一臺HD,https://www.youtube.com/watch?v=pM-1ytfQhos
087 MIT台灣誌,https://www.youtube.com/watch?v=DxvKbRgUXc8
088 大愛二臺HD,https://www.youtube.com/watch?v=QDxRJP-wfeI
089 國會頻道１,https://www.youtube.com/watch?v=UQnVkK1kcDI
090 立法院會議,https://www.youtube.com/watch?v=UQnVkK1kcDI
091 佛光山人間衛視,https://www.youtube.com/watch?v=kyjN8rvSnio

YouTube音樂體育風景,#genre#
092 THE K-POP,https://www.youtube.com/watch?v=JVocS7Yftw8
093 Lofi Girl,https://www.youtube.com/watch?v=qGohtGC5Rtk
094 earthTV,https://www.youtube.com/watch?v=r1K7DyQn3jg
095 Best of MLB,https://www.youtube.com/watch?v=wKiClrFLjZs

YouTube韓綜娛樂,#genre#
096 SBS Running Man,https://www.youtube.com/watch?v=lDcWeklf6DI

YouTube台灣節目,#genre#
097 飢餓遊戲,https://www.youtube.com/watch?v=6TsaEYaKueE

YouTube互動娛樂,#genre#
098 InquizeX,https://www.youtube.com/watch?v=Sa0UpjTdJT4
