"category","order","name","api","included","duplicate","duplicateReason","listOk","detailOk","searchOk","searchHasPlayUrl","hasPlayUrl","status","error"
"01 綜合成人","44","Luna 44 老色逼-","https://apilsbzy1.com/api.php/provide/vod","false","true","duplicate_api","true","true","true","true","true","duplicate_removed","duplicate_api"
"01 綜合成人","47","Luna 47 大奶子-","https://apidanaizi.com/api.php/provide/vod","false","true","duplicate_api","true","true","true","true","true","duplicate_removed","duplicate_api"
"01 綜合成人","49","Luna 49 乐播资源","https://lbapi9.com/api.php/provide/vod","false","true","duplicate_api","true","true","true","true","true","duplicate_removed","duplicate_api"
"01 綜合成人","50","Luna 50 奶香资源","https://Naixxzy.com/api.php/provide/vod","false","true","duplicate_api","true","true","true","true","true","duplicate_removed","duplicate_api"
"02 國產/短片","40","Luna 40 麻豆视频","https://91md.me/api.php/provide/vod","false","true","duplicate_api","true","true","true","true","true","duplicate_removed","duplicate_api"
"02 國產/短片","46","Luna 46 黄色仓库","https://hsckzy.xyz/api.php/provide/vod","false","true","duplicate_api","false","false","false","false","false","duplicate_removed","duplicate_api"
"02 國產/短片","52","Luna 52 辣椒资源","https://apilj.com/api.php/provide/vod","false","true","duplicate_api","true","true","true","true","true","duplicate_removed","duplicate_api"
"02 國產/短片","56","Luna 56 黑料资源","https://www.heiliaozyapi.com/api.php/provide/vod","false","true","duplicate_api","true","true","true","true","true","duplicate_removed","duplicate_api"
"02 國產/短片","57","Luna 57 桃花资源","https://thzy1.me/api.php/provide/vod","false","true","duplicate_api","true","true","true","true","true","duplicate_removed","duplicate_api"
"02 國產/短片","65","Luna 65 白嫖资源","https://www.kxgav.com/api/json.php","true","false","","true","true","true","true","true","usable_review_required",""
"02 國產/短片","66","Luna 66 杏吧资源","https://xingba222.com/api.php/provide/vod","false","true","duplicate_api","true","true","true","true","true","duplicate_removed","duplicate_api"
"02 國產/短片","67","Luna 67 大地资源","https://dadiapi.com/feifei","false","true","duplicate_api","true","false","true","false","false","duplicate_removed","duplicate_api"
"02 國產/短片","68","Luna 68 色猫资源","https://caiji.semaozy.net/inc/apijson_vod.php/provide/vod","false","true","duplicate_api","false","false","false","false","false","duplicate_removed","duplicate_api"
"03 番號/日本","43","Luna 43 番号资源","http://fhapi9.com/api.php/provide/vod","false","true","duplicate_api","true","true","true","true","true","duplicate_removed","duplicate_api"
"03 番號/日本","48","Luna 48 jkun资源","https://jkunzyapi.com/api.php/provide/vod","false","true","duplicate_api","true","true","true","true","true","duplicate_removed","duplicate_api"
"03 番號/日本","59","Luna 59 CK-资源","https://ckzy.me/api.php/provide/vod","false","true","duplicate_api","true","true","true","true","true","duplicate_removed","duplicate_api"
"03 番號/日本","60","Luna 60 souavZY","https://api.souavzyw.net/api.php/provide/vod","false","true","duplicate_api","true","true","true","true","true","duplicate_removed","duplicate_api"
"03 番號/日本","64","Luna 64 黄AVZY","https://www.pgxdy.com/api/json.php","true","false","","true","true","true","true","true","usable_review_required",""
"03 番號/日本","69","Luna 69 奥斯卡-","https://aosikazy.com/api.php/provide/vod","false","true","duplicate_api","true","true","false","false","true","duplicate_removed","duplicate_api"
"04 動漫/美少女","63","Luna 63 美少女-","https://www.msnii.com/api/json.php","true","false","","true","true","true","true","true","usable_review_required",""
"05 精品/大站","41","Luna 41 155-资源","https://155api.com/api.php/provide/vod","false","true","duplicate_api","true","true","true","true","true","duplicate_removed","duplicate_api"
"05 精品/大站","42","Luna 42 玉兔资源","https://apiyutu.com/api.php/provide/vod","false","true","duplicate_api","true","true","true","true","true","duplicate_removed","duplicate_api"
"05 精品/大站","45","Luna 45 小鸡资源","https://api.xiaojizy.live/provide/vod","false","true","duplicate_api","true","true","true","true","true","duplicate_removed","duplicate_api"
"05 精品/大站","51","Luna 51 森林资源","https://beiyong.slapibf.com/api.php/provide/vod","false","true","duplicate_api","true","true","true","true","true","duplicate_removed","duplicate_api"
"05 精品/大站","53","Luna 53 鲨鱼资源","https://shayuapi.com/api.php/provide/vod","false","true","duplicate_api","false","false","false","false","false","duplicate_removed","duplicate_api"
"05 精品/大站","54","Luna 54 豆豆资源","https://api.douapi.cc/api.php/provide/vod","false","true","duplicate_api","true","true","true","true","true","duplicate_removed","duplicate_api"
"05 精品/大站","55","Luna 55 滴滴资源","https://api.ddapi.cc/api.php/provide/vod","false","true","duplicate_api","true","true","true","true","true","duplicate_removed","duplicate_api"
"05 精品/大站","58","Luna 58 精品资源","https://www.jingpinx.com/api.php/provide/vod","false","true","duplicate_api","true","true","true","true","true","duplicate_removed","duplicate_api"
"05 精品/大站","61","Luna 61 细胞资源","https://www.xxibaozyw.com/api.php/provide/vod","false","true","duplicate_api","true","true","true","true","true","duplicate_removed","duplicate_api"
"05 精品/大站","62","Luna 62 香蕉资源","https://www.xiangjiaozyw.com/api.php/provide/vod","false","true","duplicate_api","true","true","true","true","true","duplicate_removed","duplicate_api"
